Generated by Ultimate_GMS2_Decompiler_v3.csx

This is a List of All Asset IDs
as the Decompiler often has to use an Asset's ID
because it can only GUESS what is an Asset and what is just a Number

Assets Found:

Sprites: 2034
Objects: 595
Rooms: 243
Sounds: 219
Backgrounds: 43
Shaders: 22

Other assets have been removed as they are not needed


--------------------- SPRITES ---------------------
0 - spr_player_machpunch2
1 - spr_chargershitbox
2 - spr_icescreamer
3 - bg_estate1clouds
4 - spr_rosette_desk
5 - spr_candy_appear
6 - spr_pepcooter
7 - bg_martian_outsideGround
8 - spr_pizzelle_taunt
9 - spr_punchdust
10 - spr_player_idle
11 - pal_knight
12 - spr_player_mach2jump
13 - spr_player_jump
14 - spr_checkpointflag_unvisit
15 - spr_player_seacream_stick
16 - spr_player_hurt
17 - spr_player_caneidle
18 - spr_bigcollect1P
19 - bg_martian_inside_creature2
20 - bg_hub2_1
21 - introbg_3
22 - spr_babybear_walk
23 - spr_player_superjumpprep
24 - spr_player_bump
25 - tile_secret
26 - spr_player_hang
27 - spr_player_canewalk
28 - spr_paintwitch_scared
29 - pal_gnome
30 - spr_player_ladderup
31 - spr_player_land2
32 - spr_bombpep_run
33 - spr_pizzytvangry
34 - spr_player_machfreefall
35 - spr_bartimer_normalFront
36 - spr_pizzelleselectpal
37 - spr_dance_startgate
38 - spr_player_stun
39 - spr_guard_alert
40 - spr_bombpep_intro
41 - spr_tornadocloud
42 - spr_rosette
43 - spr_pizzytvmach1
44 - spr_player_mach2
45 - spr_player_ladder
46 - cottonskynull
47 - bg_estate1back2
48 - entryway_endroomescape2
49 - spr_minippcnspawn
50 - spr_rankcake
51 - countdown_numbers
52 - spr_pizzanotv_cotton
53 - spr_banana_machturn
54 - spr_player_walkfront
55 - spr_player_ufojump
56 - spr_hithere
57 - spr_player_uppercutbegin
58 - spr_pizzano_mach3jump
59 - spr_chocofrogbig_tumble
60 - spr_player_superjumppreplight
61 - spr_player_enterkey
62 - spr_player_suplexdash
63 - Sprite2001
64 - spr_janitor2NPC_idle1
65 - spr_coneboy_cottonbounce
66 - spr_coneboy_taunt
67 - spr_player_candytransitionup
68 - spr_rankcloud
69 - spr_portaltrigger
70 - introbg_7
71 - spr_player_grabkick
72 - spr_player_land
73 - spr_arrow
74 - spr_player_freefall2
75 - spr_player_machsliding
76 - spr_buttonReleased
77 - bg_molassesfall
